name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Bryant Grady Patton,https://en.wikipedia.org/wiki/Carroll_Gartin,no,36.3,,,Found,TRUE,seq=7.3; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Carroll Gartin was an American politician born on November 25, 1913, in Raleigh, Mississippi. He served as the 52nd Lieutenant Governor of Mississippi from 1956 to 1964, following a career in local politics in Laurel, Mississippi. Gartin was known for his progressive stance on civil rights during a turbulent era in Mississippi’s history. He passed away on December 2, 1966, leaving a legacy as a key political figure in the state’s mid-20th-century governance.",,1913-11-25,1966-12-02,"Raleigh, Mississippi, United States","Jackson, Mississippi, United States",male,no,yes,no,no
Camp Gordon Johnston Mem,https://en.wikipedia.org/wiki/Corey_Heim,no,36.1,,,Found,TRUE,seq=7.1; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Corey Heim is an American professional stock car racing driver born on September 11, 2002. He gained prominence in motorsports through his success in the ARCA Menards Series, where he won multiple races and championships. Heim has competed in NASCAR's Craftsman Truck Series, Xfinity Series, and Cup Series, showcasing his talent across various levels of stock car racing. Known for his skill and determination, he is considered one of the rising stars in NASCAR with a promising career ahead.",,2002-09-11,,"Marietta, Georgia, United States",not found,male,yes,no,no,no
Angela Webb Hammonds,https://en.wikipedia.org/wiki/Anthony_Michael_Hall,no,36,,,Found,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Anthony Michael Hall is an American actor born on April 14, 1968, best known for his iconic roles in 1980s teen films directed by John Hughes. He rose to fame with movies like Sixteen Candles (1984), The Breakfast Club (1985), and Weird Science (1985), becoming a defining figure of the Brat Pack era. Hall also briefly joined Saturday Night Live in 1985 as its youngest cast member at age 17, though his tenure was short-lived. Beyond acting, he has explored music and later transitioned into character roles in film and television, maintaining a lasting influence on pop culture.","[""St. Hilda's & St. Hugh's School (New York City)"", ""Professional Children's School (New York City)"", 'New York University (attended, no degree confirmed)']",1968-04-14,,"West Roxbury, Massachusetts, United States",not found,male,no,no,no,yes
Roger J. Clary,https://en.wikipedia.org/wiki/Bob_Crane,no,36,,,Found,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Bob Crane was an American actor born on July 13, 1928, best known for his role as Colonel Robert E. Hogan in the television sitcom Hogan's Heroes (1965–1971). He began his career as a radio personality and later transitioned to television, appearing in The Donna Reed Show before achieving fame in Hogan's Heroes. Crane's career declined after the show ended, and he shifted to theater and dinner club performances. He was murdered on June 29, 1978, in Scottsdale, Arizona, in a case that remains widely discussed due to its unsolved nature and sensational details.",,1928-07-13,1978-06-29,"Waterbury, Connecticut, United States","Scottsdale, Arizona, United States",male,no,no,no,yes
Senior Inspector Rita Jane Hall,https://en.wikipedia.org/wiki/Hillary_Clinton,no,36,,,Found,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Hillary Diane Rodham Clinton was born on October 26, 1947, in Chicago, Illinois, USA. She is a lawyer, author, and politician who served as the 67th United States Secretary of State (2009–2013) under President Barack Obama and as a U.S. Senator from New York (2001–2009). Clinton was the First Lady of the United States during her husband Bill Clinton’s presidency (1993–2001) and became the first woman nominated for president by a major U.S. political party (Democratic, 2016). Her career has spanned advocacy for healthcare reform, women’s rights, and global diplomacy, making her one of the most influential political figures in modern American history.","['Wellesley College, Bachelor of Arts (BA) in Political Science (1969)', 'Yale Law School, Juris Doctor (JD) (1973)']",1947-10-26,,"Chicago, Illinois, United States of America",not found,female,no,yes,no,no
Trooper Elmer C. Barnett,https://en.wikipedia.org/wiki/Jon_Corzine,no,35.9,,70,Found,TRUE,seq=6.9; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Jon Stevens Corzine was born January 1, 1947, and is an American financial executive and former politician. He served as CEO of Goldman Sachs from 1994 to 1999 before transitioning into politics as a U.S. Senator from New Jersey (2001–2006) and later Governor of New Jersey (2006–2010). Corzine also led the now-defunct futures brokerage MF Global, which collapsed in 2011 under his leadership. His career spans Wall Street, government, and controversy, marking him as a significant but polarizing figure in finance and politics.","['University of Illinois at Urbana–Champaign, Bachelor of Science (1969)', 'University of Chicago Booth School of Business, Master of Business Administration (1973)']",1947-01-01,,"Taylorville, Illinois, United States",not found,male,no,yes,no,no
Lourdes P. Aguila,https://en.wikipedia.org/wiki/Felipe_Vald%C3%A9s_Leal,no,35.9,,,Found,TRUE,seq=6.9; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Felipe Valdés Leal was a notable Mexican musician and composer born in 1899. His career spanned several decades, beginning in the early 20th century and including a period of retirement before returning to music in the 1940s. He is recognized for his contributions to Mexican music, particularly during his active years from 1899 to 1974. Valdés Leal's legacy endures as a significant figure in the cultural and musical history of Mexico.",,1899-01-01,1974-01-01,not found,not found,male,no,no,no,yes
Manny Añon,https://en.wikipedia.org/wiki/Rue_McClanahan,no,35.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Rue McClanahan was an American actress born on February 21, 1934, best known for her iconic role as Blanche Devereaux on the NBC sitcom The Golden Girls (1985–1992). She began her career in theater and television, earning an Emmy Award for her work on Maude (1972–1978) before achieving global fame with The Golden Girls. Beyond acting, she was an advocate for LGBTQ+ rights and animal welfare, reflecting her progressive values. McClanahan passed away on June 3, 2010, leaving a lasting legacy as one of television’s most beloved comedic actresses.","['University of Tulsa, Bachelor of Arts in German', 'Emerson College, Master of Fine Arts in Theater']",1934-02-21,2010-06-03,"Healdton, Oklahoma, United States","New York City, New York, United States",female,no,yes,no,no
Frank Pasquarella,https://en.wikipedia.org/wiki/Aniello_Prisco,no,35.5,,,Found,TRUE,seq=6.5; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Aniello Prisco was an Italian mobster and a prominent member of the Camorra, a Neapolitan crime syndicate. Born in the early 20th century, he rose through the ranks to become a key figure in organized crime, particularly in the drug trafficking operations of the 1970s and 1980s. Known for his ruthless tactics and strategic alliances, Prisco played a significant role in the violent conflicts between rival Camorra clans. He was assassinated in 1982 during the height of the Camorra wars, marking a pivotal moment in the organization's turbulent history.",,1930-01-01,1982-08-12,"Naples, Campania, Italy","Naples, Campania, Italy",male,no,no,no,no
Wesley L. Silas,https://en.wikipedia.org/wiki/James_Bell_%28actor%29,no,35.4,,99,Found,TRUE,seq=6.4; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"James Bell was an American actor known for his contributions to Broadway and early film. Born in 1891, he gained recognition for his theatrical roles during the early to mid-20th century. Bell appeared in notable productions such as The Green Pastures and Porgy and Bess, showcasing his talent in both stage and screen. His career left a lasting impact on the performing arts, particularly in African-American theater history.",,1891-01-01,,not found,not found,male,no,no,no,no
Julia Munroe Woodward,https://en.wikipedia.org/wiki/Ida_Tarbell,no,35.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Ida Minerva Tarbell was an American journalist, teacher, and author born on November 5, 1857, in Erie County, Pennsylvania. She is best known for her pioneering investigative journalism, particularly her 1904 exposé The History of the Standard Oil Company, which contributed to the breakup of the Standard Oil monopoly. Tarbell was a leading figure in the muckraking movement and worked as an editor and writer for McClure's Magazine, where she published influential biographies of Abraham Lincoln and Napoleon Bonaparte. She died on January 6, 1944, leaving a lasting legacy as one of the most important journalists of the Progressive Era.","['Allegheny College (Bachelor of Arts, 1880)', 'Sorbonne (studied in Paris, 1890s)']",1857-11-05,1944-01-06,"Hatch Hollow, Pennsylvania, United States","Bridgeport, Connecticut, United States",female,no,yes,no,no
Pearl Harbor,https://en.wikipedia.org/wiki/Phil_Rasmussen,no,35.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Phil Rasmussen was an American military officer best known for his actions during the attack on Pearl Harbor on December 7, 1941. As a second lieutenant in the U.S. Army Air Corps, he famously engaged Japanese aircraft with a pistol and later a machine gun, despite being a non-combat pilot. Rasmussen survived the attack and continued his military career, eventually retiring as a colonel in 1965. His bravery during Pearl Harbor earned him recognition as one of the few American pilots to actively resist the assault that day.",,,2005-04-29,not found,not found,male,no,no,yes,no
Trooper Donald Earl Jennings,https://en.wikipedia.org/wiki/Christopher_Curry_%28actor%29,no,35.2,,688,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Christopher Curry is an American actor best known for his extensive work in television, film, and voice acting. Born in 1948, he gained recognition for roles in series like The Waltons and The Young and the Restless, as well as voice work in animated projects. His career spans several decades, with notable contributions to both live-action and animated productions. Curry remains active in the entertainment industry, though specific details about his later career are less documented.",,1948-01-01,,not found,not found,male,no,no,no,no
