name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Willard Peebles,Willard Peebles Bridge,Brevard,https://en.wikipedia.org/wiki/Ellis_Spear,Found,27.2,true,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Ellis Spear was born on April 8, 1834, in Warren, Maine, and became a prominent Union officer during the American Civil War. He is best known for his leadership as a colonel in the 20th Maine Volunteer Infantry Regiment, particularly at the Battle of Gettysburg, where his unit played a crucial role in defending Little Round Top. After the war, Spear pursued a career in law and later became involved in politics, serving as a U.S. Pension Agent. He died on November 13, 1917, leaving behind a legacy as a respected military leader and public servant.","['Bowdoin College', 'Bachelor of Arts']",1834-04-08,1917-11-13,"Warren, Maine, United States","Brunswick, Maine, United States",male,no,yes,yes,no
A. Slater Cox,A. Slater Cox Bridge,Lake,https://en.wikipedia.org/wiki/Alligator_bait,Found,9.9,true,seq=8.9; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The term 'alligator bait' refers to a racist stereotype historically used in the United States, particularly in the late 19th and early 20th centuries, falsely claiming that Black children were used as bait to lure alligators. This myth was perpetuated through postcards, advertisements, and popular culture, reinforcing dehumanizing racial stereotypes. No credible evidence supports the practice ever occurring, and it is widely regarded as a fabricated trope rooted in racism. The concept has been analyzed in discussions about racial propaganda and the historical mistreatment of African Americans.",,,,not found,not found,not found,no,no,no,no
Wayne Koester,Deputy Wayne Koester Memorial Highway,Lake,https://en.wikipedia.org/wiki/List_of_German_films_of_the_1970s,Found,0.0,true,seq=4.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,"This content is a Wikipedia navigation page listing German films produced during the 1970s, categorized by year (1970–1979). It serves as a reference for cinema from West Germany and East Germany during that decade, highlighting the era's cultural and artistic contributions. The page does not focus on an individual but rather compiles filmographic data for historical documentation. No biographical details about a specific person are provided in the given content.",,,,not found,not found,not found,no,no,no,no
Johnny C. Treadwell,Johnny C. Treadwell Memorial Highway,Lake,https://en.wikipedia.org/wiki/Johnny_Treadwell,Found,47.0,true,seq=18.3; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Johnny Treadwell was an American figure primarily known for his involvement in sports and entertainment. Born in 1919, he gained prominence as a boxing promoter and manager during the mid-20th century. Treadwell was notably associated with the career of boxer Joe Louis, contributing to the sport's popularity during his era. He passed away in 1967, leaving behind a legacy in the boxing world and broader cultural impact through his professional endeavors.",,1919-01-01,1967-01-01,not found,not found,male,yes,no,no,no
Claude A. Gnann,Major Claude A. Gnann Memorial Highway,Lake,https://en.wikipedia.org/wiki/List_of_works_about_Rembrandt,Found,0.0,true,seq=5.5; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40,"Rembrandt Harmenszoon van Rijn was a Dutch painter and etcher born in 1606, widely regarded as one of the greatest visual artists in history. Known for his masterful use of light and shadow, he created iconic works like The Night Watch and The Return of the Prodigal Son. As a leading figure of the Dutch Golden Age, his portraits and biblical scenes revolutionized European art. Rembrandt died in 1669, leaving behind a legacy that continues to influence artists worldwide.","['University of Leiden (briefly attended, no degree)', 'Apprenticeship under Pieter Lastman (Amsterdam)']",1606-07-15,1669-10-04,"Leiden, Netherlands","Amsterdam, Netherlands",male,no,no,no,no
McTureous,"Private Robert M. McTureous, Jr., U.S.M.C., Medal of Honor Memorial Highway",Lake,https://en.wikipedia.org/wiki/Umatilla%2C_Florida,Found,23.0,true,seq=4.6; last-mismatch:-4; fl:+10; county:+8; us:+5,"The provided content describes Umatilla, a city in Florida, rather than a biographical subject. It covers the city's history, geography, demographics, parks, and notable residents but does not focus on an individual. No birth, death, profession, or personal achievements are mentioned as the content pertains to a location. Therefore, no biographical summary can be derived from this information.",,,,not found,not found,not found,no,no,no,no
Sgt. Frederico G. Borjas,Sgt. Frederico G. Borjas Memorial Highway,Lake,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Angela Simone Santos,Angela Simone Santos Memorial Highway,Marion,https://en.wikipedia.org/wiki/Xtreme_Fighting_Championships,Found,7.5,true,seq=6.5; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Xtreme Fighting Championships (XFC) was a mixed martial arts (MMA) promotion founded in the early 2000s, known for hosting regional MMA events primarily in the United States. It gained attention for organizing early-career fights featuring notable MMA fighters and contributing to the sport's growth during its formative years. The organization hosted multiple events, including 'XFC 1: Dynamite' and 'XFC 5: Return of the Giant,' before eventually ceasing operations. While not as globally prominent as UFC, XFC played a role in the expansion of MMA as a mainstream combat sport.",,,,not found,not found,not found,yes,no,no,no
Bernard Castro,Bernard Castro Memorial Highway,Marion,https://en.wikipedia.org/wiki/Frank_Sturgis,Found,4.9,true,seq=8.9; last-mismatch:-4; fl:+10; county-miss:-8,"Frank Sturgis (1924–1993) was an American soldier, political operative, and anti-communist activist best known for his involvement in the 1972 Watergate burglary. Born Frank Fiorini, he served in the U.S. Marine Corps and later fought alongside Fidel Castro’s forces in Cuba before becoming a vocal anti-Castro activist. Sturgis was one of the five men arrested during the Watergate break-in, which led to the resignation of President Richard Nixon. His later years were marked by conspiracy theories linking him to the JFK assassination, though no evidence substantiated these claims.",,1924-12-09,1993-12-04,"Norfolk, Virginia, United States","Miami, Florida, United States",male,no,yes,yes,no
John M. Haile,Dr. John M. Haile Memorial Boulevard,Marion,https://en.wikipedia.org/wiki/Noah_Lyles,Found,4.7,true,seq=8.7; last-mismatch:-4; fl:+10; county-miss:-8,"Noah Lyles is an American professional sprinter born on July 18, 1997, known for his dominance in the 100-meter and 200-meter events. He has won multiple World Championship gold medals, including a historic 100m, 200m, and 4x100m relay sweep at the 2023 World Athletics Championships. Lyles is recognized for his speed, charisma, and advocacy for mental health awareness among athletes. As of 2024, he remains one of the fastest sprinters in the world and a prominent figure in track and field.",,1997-07-18,,"Gainesville, Florida, United States",not found,male,yes,no,no,no
James C. Cunningham,James C. Cunningham Memorial Highway,Marion,https://en.wikipedia.org/wiki/Joe_Cunningham_%28American_politician%29,Found,21.8,true,seq=15.8; fl:+10; county-miss:-8,"Joe Cunningham is an American politician and attorney born on May 26, 1982. He served as the U.S. Representative for South Carolina's 1st congressional district from 2019 to 2021, becoming the first Democrat to hold the seat in nearly four decades. A moderate Democrat, Cunningham focused on issues like offshore drilling bans and bipartisan cooperation during his tenure. Prior to his political career, he worked as an ocean engineer and attorney, and he also served in the U.S. military as a reservist.","['Florida Atlantic University, Bachelor of Science in Ocean Engineering', 'Northern Kentucky University, Salmon P. Chase College of Law, Juris Doctor']",1982-05-26,,not found,not found,male,no,yes,yes,no
Jane Yongue Wood,Jane Yongue Wood Memorial Highway,Marion,https://en.wikipedia.org/wiki/When_Lilacs_Last_in_the_Dooryard_Bloom%27d,Found,0.0,true,seq=5.0; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,"The provided content describes When Lilacs Last in the Dooryard Bloom'd, an elegy by Walt Whitman written in 1865 to mourn Abraham Lincoln's assassination. Whitman, born in 1819, was an American poet and journalist celebrated for his free-verse works like Leaves of Grass. This poem reflects his grief over Lincoln’s death and the broader losses of the Civil War. Whitman’s innovative style and emotional depth cemented his legacy as a foundational figure in American literature.",,1819-05-31,1892-03-26,"West Hills, New York, United States","Camden, New Jersey, United States",male,no,yes,no,no
Judge William T. Swigert,Judge William T. Swigert Bridge,Marion,https://en.wikipedia.org/wiki/Mark_Kelly,Found,27.0,true,seq=3.5; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Mark Kelly is an American astronaut, naval aviator, and politician born on February 21, 1964. He served as a NASA astronaut from 1996 to 2011, piloting and commanding multiple Space Shuttle missions, including STS-108, STS-121, and STS-124. Kelly also had a distinguished 25-year career in the U.S. Navy, retiring as a captain after flying combat missions during the Gulf War. Since 2020, he has represented Arizona in the U.S. Senate as a member of the Democratic Party.","['United States Merchant Marine Academy, Bachelor of Science in Marine Engineering and Nautical Science, 1986', 'U.S. Naval Test Pilot School, Class 104, 1994']",1964-02-21,,"Orange, New Jersey, United States",not found,male,no,yes,yes,no
Leon B. Thrasher,Leon B. Thrasher Highway,Marion,https://en.wikipedia.org/wiki/John_B._Galbraith,Found,10.7,true,seq=9.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"John B. Galbraith was a Canadian politician who served as a Member of Parliament for the Liberal Party. Born in 1947, he represented the riding of Lanark—Carleton in Ontario from 1993 to 1997. Prior to his political career, he worked in business and was involved in local community initiatives. Galbraith passed away in 2023, leaving behind a legacy of public service and advocacy for rural Canadian issues.",,1947-01-01,2023-01-01,not found,not found,male,no,yes,no,no
